3776508:
 num     #instances         #bytes  class name (module)
 182:           188          16544  jdk.jfr.internal.PlatformEventType (jdk.jfr@21.0.11)
 183:           684          16416  clojure.lang.Compiler$BindingInit
 184:           682          16368  clojure.core$maybe_min_hash$fn__7005$fn__7009
 185:           676          16224  org.eclipse.jetty.util.ArrayTrie$Node
 186:           404          16160  [Ljava.util.HashSet; (java.base@21.0.11)
 187:           404          16160  jdk.jfr.internal.Control (jdk.jfr@21.0.11)
 188:          1003          16048  java.security.SecureClassLoader$CodeSourceKey (java.base@21.0.11)
 189:           248          15872  jdk.internal.org.objectweb.asm.SymbolTable (java.base@21.0.11)
 190:           982          15712  java.security.SecureClassLoader$1 (java.base@21.0.11)
 191:           981          15696  java.util.zip.CRC32 (java.base@21.0.11)
 192:           196          15680  java.net.URI (java.base@21.0.11)
 193:           649          15576  clojure.lang.SeqIterator
 194:           647          15528  java.util.ImmutableCollections$Set12 (java.base@21.0.11)
 195:           382          15280  java.lang.invoke.DirectMethodHandle (java.base@21.0.11)
 196:           475          15200  java.nio.file.attribute.FileTime (java.base@21.0.11)
 197:           454          14528  clojure.lang.Compiler$IfExpr
 198:           451          14432  java.lang.invoke.MethodHandles$Lookup (java.base@21.0.11)
 199:           601          14424  java.lang.Long (java.base@21.0.11)
 200:           297          14256  java.lang.invoke.LambdaForm (java.base@21.0.11)
 201:           590          14160  clojure.lang.PersistentVector$Node
 202:           577          13848  sun.reflect.annotation.AnnotationInvocationHandler (java.base@21.0.11)
 203:           853          13648  clojure.lang.Compiler$BodyExpr
 204:           243          13608  clojure.lang.Compiler$InstanceMethodExpr
 205:            89          13368  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.11)
 206:           334          13360  clojure.lang.APersistentVector$SubVector
 207:           415          13280  clojure.lang.PersistentVector$TransientVector
 208:           235          13160  java.nio.HeapByteBuffer (java.base@21.0.11)
 209:           404          12928  jdk.jfr.SettingDescriptor (jdk.jfr@21.0.11)
 210:           322          12880  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.11)
 211:           525          12600  clojure.lang.KeywordLookupSite$1
 212:           520          12480  clojure.lang.PersistentArrayMap$Iter
 213:           310          12400  java.util.Spliterators$ArraySpliterator (java.base@21.0.11)
 214:           764          12224  java.util.HashSet (java.base@21.0.11)
 215:           378          12096  clojure.core$map$fn__5960
 216:           373          11936  java.util.stream.ReduceOps$3ReducingSink (java.base@21.0.11)
 217:           742          11872  clojure.lang.Compiler$BodyExpr$Parser
 218:           341          10912  jdk.internal.math.FDBigInteger (java.base@21.0.11)
 219:           272          10880  java.util.IdentityHashMap (java.base@21.0.11)
 220:            80          10880  sun.nio.fs.UnixFileAttributes (java.base@21.0.11)
 221:           452          10848  java.util.ImmutableCollections$ListN (java.base@21.0.11)
